# 2theta, intensity, h, k, l
7.557 0 0 1 0
15.169 4 0 2 0
22.834 10 0 3 0
23.273 4 0 0 1
27.553 3 1 2 0
27.892 5 0 2 1
30.617 0 0 4 0
32.537 55 1 3 0
32.841 100 0 3 1
33.756 2 1 1 1
36.369 3 1 2 1
38.511 13 0 5 0
38.798 5 0 4 1
40.383 14 1 3 1
45.523 2 1 4 1
46.632 22 0 6 0
46.724 21 2 0 0
47.579 12 0 0 2
51.494 4 1 5 1
52.525 3 1 6 0
52.732 4 0 6 1
53.399 2 0 3 2
54.995 2 0 7 0
55.312 1 2 2 1
58.205 26 1 6 1
58.825 13 1 3 2
60.307 0 1 7 0
60.493 1 0 7 1
62.078 2 2 5 0
62.260 2 2 4 1
62.807 3 0 5 2
65.569 2 1 7 1
68.132 5 2 6 0
68.616 5 1 8 0
68.795 13 0 8 1
68.887 12 2 0 2
72.818 1 0 9 0
72.993 0 3 0 0
73.559 2 1 6 2
74.975 0 2 7 0
75.613 1 0 7 2
77.245 0 2 4 2
77.478 4 1 9 0
77.652 6 0 9 1
77.824 5 3 0 1
79.085 5 0 3 3
79.747 3 2 7 1
81.138 1 1 2 3
81.810 2 2 5 2
82.333 0 3 3 1
82.496 1 0 10 0
83.647 1 1 3 3
87.025 3 1 10 0
87.284 6 2 8 1
87.746 4 1 8 2
90.348 1 3 5 1
91.086 1 2 9 0
91.719 1 0 9 2
93.024 1 0 11 0
93.783 1 2 7 2
95.850 4 3 6 1
96.390 4 3 3 2
97.142 4 1 6 3